"Unit","Question Number","Question Text","Option A","Option B","Option C","Option D","Correct Answer"
"1","1","Management is what a _______ does?","Manager","Subordinate","Supervisor","Superior","A"
"1","2","Management is an","Art","Science","Art and Science","Art or Science","C"
"1","3","Scientific management is developed by","Fayol","Taylor","Mayo","Jacob","B"
"1","4","Dividing the work into small tasks is known as","Discipline","Unity","Division of work","Equity","C"
"1","5","With a wider span,there will be _______ hierarchical levels.","More","Less","Multiple","Additional","B"
"1","1","Which is the primary function of management?","Innovating","Controlling","Planning","Decision-making","C"
"1","2","Which of the following is not a main function?","Decision-making","Planning","Organising","Staffing","A"
"1","3","_______ is included in every managerial function.","Co-ordinating","Controlling","Staffing","Organising","A"
"1","4","Which of the following is verification function?","Planning","Organising","Staffing","Controlling","D"
"1","5","The goals are achieved with the help of","Motivation","Controlling","Planning","Staffing","A"
"1","1","_______ System gives full Scope to the Individual Strength and Responsibility.","MBO","MBE","MBM","MBA","A"
"1","2","Which is the First step in Process of MBO?","Fixing Key Result Area","Appraisal of Activities","Matching Resources with Activities","Defining Organisational Objectives","D"
"1","3","_______ keeps Management Alert to Opportunities and Threats by Identifying Critical Problems.","MBA","MBE","MBM","MBO","B"
"1","4","Delegation of Authority is Easily Done with the Help of","MBM","MBE","MBO","MBA","C"
"1","5","MBO is popularized in the USA by","MBM","MBE","MBO","MBA","B"
"2","1","Financial market facilitates business firms","To rise funds","To recruit workers","To make more sales","To minimize fund requirement","A"
"2","2","Capital market is a market for","Short Term Finance","Medium Term Finance","Long Term Finance","Both Short Term and Medium Term Finance","C"
"2","3","Primary market is also called as","Secondary market","Money market","New Issue Market","Indirect Market","C"
"2","4","Spot Market is a market where the delivery of the financial instrument and payment of cash occurs","Immediately","In the future","Uncertain","After one month","A"
"2","5","How many times a security can be sold in a secondary market?","Only one time","Two time","Three times","Multiple times","D"
"2","1","Capital market do not provide","Short term Funds","Debenture Funds","Equity Funds","Long term Funds","A"
"2","2","When the NSEI was established","1990","1992","1998","1997","B"
"2","3","Primary market is a Market where securities are traded in the","First Time","Second Time","Three Time","Several Times","A"
"2","4","Participants in the Capital Market includes","Individuals","Corporate","Financial Institutions","All of the above","D"
"2","5","The _______ was set up by a premier financial institution to allow the trading of securities across the electronic counters throughout the country.","OTCEI","Factoring","Mutual Fund","Venture Funds Institutions","A"
"2","1","The money invested in the call money market provides high liquidity with","Low Profitability","High Profitability","Limited Profitability","Medium Profitability","A"
"2","1","A major player in the money market is the","Commercial Bank","Reserve Bank of India","State Bank of India","Central Bank","A"
"2","2","Debt Instruments are issued by Corporate Houses are raising short-term financial resources from the money market are called","Treasury Bills","Commercial Paper","Certificate of Deposit","Government Securities","B"
"2","3","The market for buying and selling of Commercial Bills of Exchange is known as a","Commercial Paper Market","Treasury Bill Market","Commercial Bill Market","Capital Market","C"
"2","4","A marketable document of title to a time deposit for a specified period may be referred to as a","Treasury Bill","Certificate of Deposit","Commercial Bill","Government Securities","B"
"3","1","_______ is the oldest stock exchange in the world.","London Stock Exchange","Bombay Stock Exchange","National Stock Exchange","Amsterdam Stock Exchange","D"
"3","2","There are _______ stock exchange in the country.","21","24","20","25","B"
"3","3","Jobbers transact in a stock exchange","For their Clients","For their Own Transactions","For other Brokers","For other Members","B"
"3","4","A pessimistic speculator is","Stag","Bear","Bull","Lame Duck","B"
"3","5","An optimistic speculator is","Bull","Bear","Stag","Lame duck","A"
"3","1","Securities Exchange Board of India was first established in the year","1988","1992","1995","1998","A"
"3","2","The headquarters of SEBI is","Calcutta","Bombay","Chennai","Delhi","B"
"3","3","Registering and controlling the functioning of collective investment schemes as","Mutual Funds","Listing","Rematerialisation","Dematerialization","A"
"3","4","SEBI is empowered by the Finance ministry to nominate _______ members on the Governing body of every stock exchange.","5","3","6","7","D"
"3","5","Trading is dematerialized shares commenced on the NSE is","January 1996","June 1998","December 1996","December 1998","C"
"4","1","Human resource is a _______ asset.","Tangible","Intangible","Fixed","Current","B"
"4","2","Human Resource management is both _______ and _______.","Science and art","Theory and practice","History and Geography","None of the above","A"
"4","3","Planning is a _______ function.","selective","pervasive","both a and b","none of the above","B"
"4","4","Human resource management determines the _______ relationship.","internal,external","employer,employee","Owner,Servant","Principle,Agent","B"
"4","5","Labour turnover is the rate at which employees, _______ the organisation","Enter","Leave","Salary","None of the above","B"
"4","1","Recruitment is the process of identifying","Right man for right job","Good performer","Right job","All of the above","A"
"4","2","Recruitment bridges gap between, _______ and _______","Job seeker and job provider","Job seeker and agent","Job provider and owner","Owner and servant","A"
"4","3","Advertisement is a _______ source of recruitment","internal","external","agent","outsourcing","B"
"4","4","Transfer is an _______ source of recruitment.","internal","external","outsourcing","None of the above","A"
"4","5","E-recruitment is possible only through _______ facility.","Computer","internet","Broadband","4G","B"
"4","1","The recruitment and Selection Process aimed at right kind of people.","At right people","At right time","To do right things","All of the above","D"
"4","2","Selection is usually considered as a _______ process","Positive","Negative","Natural","None of these","B"
"4","3","Which of the following test is used to measure the various characteristics of the candidate?","physical Test","Psychological Test","attitude Test","Proficiency tests","B"
"4","4","The process of eliminating unsuitable candidate is called","Selection","Recruitment","Interview","Induction","A"
"4","5","Job first man next is one of the principles of","Test","Interview","Training","placement","A"
"4","1","Off the Job training is given","In the class room","On off days","Outside the factory","In the playground","C"
"4","2","Improves Skill Levels of employees to ensure better job performance","Training","Selection","Recruitment","Performance appraisal","A"
"4","3","When trainees are trained by supervisor or by superior at the job is called","Vestibule training","Refresher training","Role play","Apprenticeship training","D"
"4","4","_______ is useful to prevent skill obsolescence of employees","Training","Job analysis","Selection","Recruitment","A"
"4","5","Training methods can be classified into _______ and _______ training","Job rotation and Job enrichment","On the Job and Off the Job","Job analysis and Job design","Physical and mental","B"
"5","1","One who promotes (or) Exchange of goods or services for money is called as.","Seller","Marketer","Customer","Manager","B"
"5","2","The marketer initially wants to know in the marketing is.","Qualification of the customer","Quality of the product","Background of the customers","Needs of the customers","D"
"5","3","The Spot market is classified on the basis of.","Commodity","Transaction","Regulation","Time","B"
"5","4","Which one of the market deals in the purchase and sale of shares and debentures?","Stock Exchange Market","Manufactured Goods Market","Local Market","Family Market","A"
"5","5","Stock Exchange Market is also called","Spot Market","Local Market","Security Market","National Market","C"
"5","1","The initial stage of Marketing system is","Monopoly system","Exchange to Money","Barter system","Self producing","C"
"5","2","Who is supreme in the Market?","Customer","Seller","Wholesaler","Retailer","A"
"5","3","In the following variables which one is not the variable of marketing mix?","Place Variable","Product Variable","Program Variable","Price Variable","C"
"5","4","Marketing mix means a marketing program that is offered by a firm to its target,_______ to earn profits through satisfaction of their wants.","Wholesaler","Retailer","Consumer","Seller","C"
"5","5","Which one is the example of Intangible product?","Education","Mobiles","Garments","Vehicles","A"
"5","1","Selling goods/services through internet is","Green marketing","E- business","Social marketing","Meta marketing","B"
"5","2","Which is gateway to internet?","Portal","CPU","Modem","Webnaire","C"
